2020-06-28 15:56:01.270 INFO  [4944] Logger 0 Initialized
2020-06-28 15:56:45.027 INFO  [23564] Logger 0 Initialized
2020-06-28 16:19:45.664 INFO  [22504] Logger 0 Initialized
2020-06-28 18:23:51.940 INFO  [22288] Logger 0 Initialized
2020-06-28 18:29:30.553 INFO  [27564] Logger 0 Initialized
2020-06-28 18:35:07.297 INFO  [15676] Logger 0 Initialized
2020-06-28 18:40:10.450 INFO  [1704] Logger 0 Initialized
2020-06-28 18:44:45.090 INFO  [28128] Logger 0 Initialized
2020-06-28 18:47:45.572 INFO  [8632] Logger 0 Initialized
2020-06-28 18:52:01.779 INFO  [21252] Logger 0 Initialized
2020-06-28 18:52:35.353 INFO  [24904] Logger 0 Initialized
2020-06-28 18:53:56.315 INFO  [11320] Logger 0 Initialized
2020-06-28 18:56:38.764 INFO  [8228] Logger 0 Initialized
2020-06-28 21:59:39.242 INFO  [21456] Logger 0 Initialized
2020-06-28 22:02:23.414 INFO  [3052] Logger 0 Initialized
2020-06-28 22:06:52.392 INFO  [3052] Logger 0 Initialized
2020-06-28 22:11:13.871 INFO  [3052] Logger 0 Initialized
2020-06-29 18:42:25.442 INFO  [1824] Logger 0 Initialized
2020-06-29 18:44:44.020 INFO  [1824] Logger 0 Initialized
2020-06-29 18:46:10.359 INFO  [1824] Logger 0 Initialized
2020-06-29 18:51:19.378 INFO  [26676] Logger 0 Initialized
2020-06-29 18:57:54.605 INFO  [26676] Logger 0 Initialized
2020-06-29 21:08:07.209 INFO  [26676] Logger 0 Initialized
2020-06-29 22:25:51.182 INFO  [26676] Logger 0 Initialized
2020-06-29 22:33:24.422 INFO  [26676] Logger 0 Initialized
2020-06-29 22:34:58.026 INFO  [26676] Logger 0 Initialized
2020-06-29 22:36:38.146 INFO  [26676] Logger 0 Initialized
2020-06-30 17:40:24.534 INFO  [20452] Logger 0 Initialized
2020-06-30 17:45:05.114 INFO  [20452] Logger 0 Initialized
2020-06-30 17:53:04.709 INFO  [20452] Logger 0 Initialized
2020-06-30 17:56:48.052 INFO  [22248] Logger 0 Initialized
2020-06-30 18:02:30.352 INFO  [22248] Logger 0 Initialized
2020-06-30 18:04:57.681 INFO  [22248] Logger 0 Initialized
2020-06-30 18:11:53.427 INFO  [22248] Logger 0 Initialized
